open,high,low,close,volume
49.58,50.715,49.06,50.15,72069412
49.9,50.1,49.57,49.82,38417130
49.83,50.12,49.69,49.7,27527662
49.52,50.47,49.5068,50.39,27802594
50.41,50.43,49.82,50.12,34812745
50.64,50.83,50.03,50.07,30593005
50.2,51.43,50.16,51.19,29506466
51.05,51.46,50.9525,51,24019800
51.28,52.06,51.15,51.9,23579648
49.81,50.94,49.52,49.76,58893165
49.1,49.1466,48.035,48.43,44226692
48.89,49.47,48.67,49.44,31300483
49.91,50.72,49.8,50.54,24614280
50.72,51.3,50.5,51.17,21047795
51.13,51.72,51.07,51.16,17954757
50.83,51.28,50.74,51.16,20177208
50.78,51.54,50.39,51.38,24895200
51.45,51.61,51.07,51.38,16754047
51.73,52.36,51.55,52.3,23539406
52.5,52.83,52.47,52.59,17521731
52.94,53.4,52.785,53.21,23042887
53.56,53.86,53.18,53.5111,21180549
53.84,53.99,53.58,53.73,20301866
53.87,54,53.21,53.69,25547404
53.7,54.34,53.55,53.97,24397620
53.72,53.9,52.93,53.0557,41308973
56.15,56.84,55.53,55.9,76728806
55.98,56.23,55.76,55.81,28934495
56.07,56.6275,55.78,56.57,27062964
56.41,56.74,56.255,56.73,20177271
56.52,57.29,56.51,56.76,23419359
56.61,56.8,56.11,56.19,27578995
56.01,56.37,55.72,56.21,32081384
56.16,56.76,56.05,56.69,24334711
56.69,56.75,56.14,56.58,21792161
56.84,56.9,56.31,56.58,31532924
56.68,57.11,56.49,56.96,18980614
56.8,57.5193,56.67,57.39,22527273
57.65,58.21,57.45,57.95,21645686
58.05,58.085,57.78,58.06,15986342
58.17,58.5,58.02,58.2,14531736
58.15,58.32,57.82,58.02,13793535
58.03,58.45,58.03,58.3,13969425
58.03,58.19,57.62,57.94,18489688
58.01,58.5,57.96,58.13,15810136
57.61,57.62,57.27,57.43,16119420
57.54,57.68,57.23,57.56,16003638
57.42,57.7,57.27,57.6,10612702
57.5,57.73,57.2,57.62,13533973
57.57,57.75,57.26,57.66,12748647
57.9,58.18,57.85,57.9,14894637
57.82,58.04,57.715,57.97,13678513
57.88,58.29,57.78,58.19,14353071
58.28,58.7,57.69,58.04,18188043
58.18,58.6,58.1,58.1,11587271
57.98,58.19,57.61,57.89,13514262
57.67,57.8,57.3,57.47,15066798
57.02,57.82,57.01,57.59,22436146
57.67,58.19,57.42,57.67,15651021
57.58,57.8,57.21,57.6,12058361
57.47,57.84,57.405,57.65,14644431
57.62,57.79,57.18,57.42,15613848
56.83,57.52,56.21,56.22,26329284
55.85,57.205,55.61,57.05,23365534
56.49,57.05,56.05,56.53,25500307
56.41,56.63,56.03,56.26,19740897
56.15,57.35,55.98,57.19,21016427
57.44,57.63,56.75,57.24,32046109
57.27,57.75,56.85,56.93,16342333
57.25,57.35,56.75,56.82,14273432
57.51,57.85,57.08,57.75,28279594
57.95,58,57.63,57.79,17145656
57.9,57.91,57.38,57.44,16020750
57.08,57.14,56.83,56.92,16652292
56.93,58.06,56.681,57.97,23043718
57.87,58.06,57.67,58.01,16659262
57.83,58.1679,57.21,57.4,21798136
57.57,57.77,57.34,57.59,19645825
57.405,57.55,57.06,57.41,16347733
57.32,57.595,56.97,57.24,17061458
57.32,57.9601,57.26,57.64,13740675
57.74,57.86,57.28,57.74,13372542
57.88,57.98,57.42,57.79,17192327
57.92,58.39,57.87,58.05,16006328
57.89,58.02,56.89,57.18,21407214
57.12,57.27,56.4,57.11,19737326
56.67,57.3,56.315,56.92,20825613
57.12,57.74,57.12,57.43,23125614
57.36,57.46,56.87,57.21,18286375
57.53,57.945,57.41,57.65,15950520
57.47,57.84,57.395,57.56,17329160
57.5,57.52,56.66,57.24,37793462
60.3,60.45,59.485,59.68,68080734
59.94,61,59.93,60.99,44808082
60.86,61.3699,60.8,61.01,29949216
60.8,61.2,60.47,60.63,23483399
60.62,60.83,60.09,60.11,24532900
60.01,60.52,59.58,59.87,25868056
60.16,60.42,59.93,59.93,19487109
60,60.02,59.25,59.8,20864523
59.82,59.93,59.3,59.43,18577428
59.53,59.64,59.11,59.2,16695965
58.74,59.28,58.52,58.71,22386455
59.795,60.52,59.78,60.42,24180840
60.55,60.78,60.15,60.47,19613612
60,60.59,59.2,60.17,41737253
60.48,60.49,57.6302,58.71,50869218
58.27,59.116,58.01,59.02,31874403
59.1,59.1,57.28,58.12,34473815
58.32,59.49,58.315,58.87,28862044
58.94,59.66,54.27,59.64,21150032
60.41,60.95,59.965,60.64,27379935
60.72,61.14,60.3,60.37,21753885
60.54,60.97,60.42,60.87,15522685
60.98,61.26,60.805,61.11,16093926
61.01,61.1,60.25,60.4,15372652
60.3,60.53,60.13,60.53,6353319
60.34,61.02,60.21,60.63,14506736
60.65,61.41,60.52,61.11,17797603
60.86,61.18,60.215,60.26,22149111
60.07,60.15,58.935,59.18,27570405
59.08,59.47,58.8,59.26,20292229
59.7,60.585,59.56,60.21,18016433
60.43,60.46,59.8,59.95,15912391
60.01,61.38,59.8,61.36,23875202
61.3,61.58,60.84,61,17876928
61.18,61.99,61.125,61.98,20285734
61.87,62.3,61.72,62.17,16223739
62.5,63.42,62.24,62.98,28088902
63,63.45,62.53,62.69,24307167
62.7,63.1535,62.3,62.57,22978222
