open,high,low,close,volume
94.73,95.38,93.18,95.11,9056900
95.93,97.41,95.3,97.06,7055419
96.22,96.869,94.3,94.66,11712137
95.07,96.72,94.09,95.97,10189101
96.32,96.72,94.8,96.43,7605491
97,98.27,96.8,98.02,7036774
98.34,98.7,97.41,98.39,8036024
98.39,99.84,97.24,98.8037,13828675
85.46,86.75,84.5,85.83,48333971
86.67,88.49,85.82,87.92,21363213
88.25,88.38,85.21,85.99,14570546
86.45,86.5,85.11,85.89,10132545
85.74,87.87,85.01,87.66,12121688
91.04,93.1,90.9,91.41,17279243
91.5,92.06,90.1,92.04,7764282
91.92,92.21,90.68,91.63,5414405
91.19,91.749,90.59,91.24,5240490
91.23,94.67,90.5,94.37,9607913
93.84,94.08,92.18,93.56,8782140
93.28,94.67,92.55,93.09,6199422
93.18,93.7319,91.82,93.43,5223489
93.76,97.74,93.56,97.04,16299334
95.94,95.94,94,95.1,8756176
95.08,95.81,93.48,93.99,8158485
94.4,94.75,92.95,93.93,5811080
94.56,96.33,94.37,95.89,7484730
95.53,96.83,95.08,96.59,5868002
96.83,96.91,95.24,95.31,6449454
95.11,95.61,94.4,95.12,5445189
94.94,96.93,94.85,96.39,7008448
95.96,97.2168,95.17,96.15,6310512
96.15,96.78,95.51,95.87,6064146
95.69,96.13,94.95,95.25,5110962
95.68,96.59,95.48,95.94,4570622
96.13,96.36,94.91,95.2,5328464
96.37,98.245,95.18,97.31,9614121
97.32,97.95,96.57,97.58,5836054
96.97,98.4497,96.57,97.29,7166892
97.84,98.85,97.14,97.4501,5371785
97.48,97.88,96.76,97.44,4109971
97.8,97.98,96.916,97.38,3528960
97.9,98.18,97.01,97.38,3706498
97.76,100.32,97.649,100.09,7678113
100.11,100.19,98.42,99.16,5794981
98.95,100.05,98.82,99.66,4105450
99.06,99.39,96.5,96.5,6281357
95.93,99.29,95.71,99.05,6644928
97.2,99.05,95.33,96.09,10163351
97.36,98.35,96.96,97.01,7341702
97.33,97.97,96.53,97.34,4557275
97.07,99.49,97.04,99.47,7082275
100.04,100.35,97.82,98.07,7350244
98.78,99.16,97.66,98.25,4048381
96.9,97.1,93.26,94.88,18011756
95.54,95.88,94.23,95.83,10173897
95.75,96.97,95.43,95.94,5322098
95.39,95.4,94.04,94.56,6003150
95.04,97.64,95,97.07,8635042
97.1,97.59,96.02,97.48,6251377
97.33,98.31,96.6,96.67,5355507
96.9,99.53,96.79,98.56,8493786
98.15,103.39,98,102.63,13741361
103.34,104.44,101.86,102.34,10679132
103.43,106.97,103.43,106.28,11485807
104.97,105.47,103.88,105.07,5610664
103.96,106.5,103.5501,104.82,7643436
103.45,104.53,102.76,103.34,5726937
102.31,102.9,99.86,100.58,7857550
100.88,102.47,99.22,99.5,6487724
98.11,100.5,97.63,100.2497,7106095
101.64,102.099,100.35,101.47,8135987
100.48,100.73,98.38,99.82,16775991
116.62,119.82,116.5,118.79,35704398
118.25,122.45,118,121.88,19891651
121.97,123.75,121.06,123.36,12448049
122.5,127.85,122.31,127.5,16825299
127.42,129.29,126.15,127.31,14639084
126.56,128.06,125.75,126.51,7122511
126.29,128.72,125.75,126.97,7247018
127.43,128.18,125.93,126.47,5773300
126.08,128.93,126.0118,126.58,6090333
126.85,126.9,124.4,124.88,5514269
124.98,125.83,121.8,123.3,5996921
122.83,124.07,121.83,122.34,4065192
122.31,123.72,121.84,122.13,4045674
122.03,123.43,121.62,122.04,3973913
124.31,125.75,123.37,124.57,4417690
124.12,125.81,123.22,124.33,4101634
121.8,123.65,120.8611,122.19,6342842
