date,open,high,low,close,volume
2018-01-08,95.11,97.81,94.81,96.9,1730346.0
2018-01-09,96.95,97.86,95.91,97.52,1782766.0
2018-01-10,96.54,97.31,94.75,97.21,1069296.0
2018-01-11,97.4,98.14,96.52,98.14,780888
2018-01-12,98.5,99,97.55,99,1469140.0
2018-01-16,99.1,100.67,98.97,99.55,1869656.0
2018-01-17,99.77,101.85,99.77,101.3,1865050.0
2018-01-18,101.53,101.64,99.75,100.86,1895064.0
2018-01-19,100.87,101.58,99.63,100.06,1366780.0
2018-01-22,100.28,102.73,99.66,102.66,1310599.0
2018-01-23,103,103.67,102.1,102.81,1370540.0
2018-01-24,103.29,104.96,102.9,104.62,2111879.0
2018-01-25,104.67,104.67,103.435,104.37,992947
2018-01-26,104.56,105.73,104.11,105.48,1452940.0
2018-01-29,105.14,106.27,104.865,105.09,1422608.0
2018-01-30,102,103.65,100.03,102.46,3113925.0
2018-01-31,102.98,103.04,99.06,99.67,2458591.0
2018-02-01,97.74,99.81,95.73,99.29,2786596.0
2018-02-02,99.09,99.09,95.91,96.02,1658757.0
2018-02-05,95.62,96.52,91.69,91.9,2278430.0
2018-02-06,92.58,93.37,86.9403,91.54,4574847.0
2018-02-07,91.6,95.34,91.1,94.22,2496083.0
2018-02-08,94.56,95.56,91.46,91.55,1742018.0
2018-02-09,92.54,92.54,85.8,89.19,3669312.0
2018-02-12,89.85,91.54,88.755,89.45,2157636.0
2018-02-13,101.67,101.9999,95.94,97.77,9721338.0
2018-02-14,97.25,98.19,95.6,96.4,3975837.0
2018-02-15,96.93,97.62,94.505,97.6,2884223.0
2018-02-16,96.73,100.055,96.55,99.4,2786206.0
2018-02-20,98.98,100.05,98.52,99.94,1678247.0
2018-02-21,99.82,99.96,98.34,98.57,2814392.0
2018-02-22,98.75,99.19,96.65,97.12,3416009.0
2018-02-23,97.57,98.49,96.67,98.42,1127715.0
2018-02-26,98.59,100.9586,98.1,100.58,1551309.0
2018-02-27,101.01,101.56,93.16,97.64,4738597.0
2018-02-28,97.94,99.75,95.15,95.16,1432371.0
2018-03-01,94.84,95.34,92.51,93.3,2177415.0
2018-03-02,92.7,94.58,92.56,93.96,1489898.0
2018-03-05,93.01,95.26,92.84,94.9,1317604.0
2018-03-06,95.49,95.53,94.0763,94.7,1337596.0
2018-03-07,93.78,95.89,93.12,95.6,1025190.0
2018-03-08,96.26,98.03,95.21,96.24,1148062.0
2018-03-09,96.89,99.05,96.76,99,1037661.0
2018-03-12,99.21,101.02,98.9698,100.29,1586226.0
2018-03-13,100.44,101.39,100.34,100.6,1509087.0
2018-03-14,100.88,101.12,98.151,98.58,1288373.0
2018-03-15,99.05,99.25,97.33,97.36,1248444.0
2018-03-16,97.43,98.23,96.46,96.61,1597562.0
2018-03-19,96.34,96.34,92.82,93,1127196.0
2018-03-20,92.96,93.19,88.152,89.19,2600573.0
2018-03-21,89.45,91.46,89.27,89.5,1714895.0
2018-03-22,88.4,88.4,84.66,85,4619135.0
2018-03-23,85.34,86.46,83.81,84.03,1629736.0
2018-03-26,84.89,85.08,82.88,84.95,1648467.0
2018-03-27,84.93,85.205,83.38,84.01,1454785.0
2018-03-28,84.45,85.75,84.1268,85.11,1968250.0
2018-03-29,85.13,86.62,85.04,86.21,1528003.0
2018-04-02,86.1,86.59,81.82,82.67,1957379.0
2018-04-03,83.19,84.01,81.58,83.93,1317530.0
2018-04-04,82.76,86.68,82.72,86.25,1485587.0
2018-04-05,85.6,88.57,85.14,87.38,3188433.0
2018-04-06,86.29,87.08,84.62,85.41,1592640.0
2018-04-09,85.81,87.69,85.34,86.79,1119409.0
2018-04-10,87.62,89.47,87.35,88.91,1166304.0
2018-04-11,87.95,89.9034,87.82,89.09,723652
2018-04-12,89.55,89.84,87.89,88.19,649562
2018-04-13,88.39,88.78,86.11,86.82,1235745.0
2018-04-16,86.82,89.67,84.19,88.77,5103643.0
2018-04-17,89.5,91.39,89.44,91.04,2832680.0
2018-04-18,91.67,94.22,91.4,92.75,2129539.0
2018-04-19,92.59,92.59,90.28,91.69,1075632.0
2018-04-20,92,92.02,89.12,89.87,887092
2018-04-23,90.15,90.82,89.84,90.74,959692
2018-04-24,91.4,91.98,89.385,90.14,994267
2018-04-25,89.92,91.46,89.3,91.43,722416
2018-04-26,91.85,92.82,91.12,92.08,1059466.0
2018-04-27,91.93,93.25,91.725,93.07,1080726.0
2018-04-30,93.28,93.28,90.53,90.58,1107937.0
2018-05-01,90.45,90.685,87.69,89.2,1672250.0
2018-05-02,88.56,95,87.05,92.18,3502000.0
2018-05-03,89.25,89.49,85.27,85.37,3481744.0
2018-05-04,84.51,87.3,83.49,86.37,1962549.0
2018-05-07,86.45,87.48,84.6,84.69,1284646.0
2018-05-08,84.58,85.47,83.765,84.69,1593422.0
2018-05-09,84.82,85.61,84.28,84.72,2054511.0
2018-05-10,85.41,87.83,85.41,85.53,1996671.0
2018-05-11,85.6,87.5,84.64,86.88,1853382.0
2018-05-14,87.43,88.475,86.91,87.28,1014945.0
2018-05-15,86.6,87.48,85.43,85.67,1028318.0
2018-05-16,85.93,86.73,85.31,85.99,1017635.0
2018-05-17,85.94,87.86,85.33,87.07,1531108.0
2018-05-18,86.84,87.03,84.7,84.77,1308538.0
2018-05-21,85.23,85.61,84.04,84.34,972650
2018-05-22,84.59,85.74,84.26,84.51,1058372.0
2018-05-23,83.88,84.63,83.35,83.96,923792
2018-05-24,83.56,85.23,82.34,84.09,1224192.0
2018-05-25,84.46,86.13,83.985,85.49,786350
2018-05-29,84.57,84.845,82.0975,82.57,1390394.0
2018-05-30,82.82,84.58,82.49,84.13,911004
2018-05-31,84.43,84.43,81.97,82.14,1352691.0
2018-06-01,82.66,83.63,82.14,83.34,1020504.0
2018-06-04,82.87,85.235,82.74,84.32,1037893.0
2018-06-05,84.4,85.45,84.07,84.79,976873
2018-06-06,84.87,87.19,84.84,87.15,1080264.0
2018-06-07,87.34,87.71,86.43,86.6,1261115.0
2018-06-08,86.6,87.089,85.13,86.09,1198764.0
2018-06-11,86.25,87.86,86.13,87.28,1595422.0
2018-06-12,87.44,88.05,86.25,88.04,1014202.0
2018-06-13,88.61,91.89,88.545,90.66,2459818.0
2018-06-14,90.85,93.82,90.41,93.35,1903821.0
2018-06-15,92.9,94.88,92,94.85,2042341.0
2018-06-18,94.27,94.41,91.31,91.57,1270699.0
2018-06-19,90.93,92.18,90.39,92.17,1159227.0
2018-06-20,92.03,93.58,91.69,93.23,640758
2018-06-21,93.67,93.96,92.86,93.21,963077
2018-06-22,93.35,94.34,92.87,93.5,1030985.0
2018-06-25,93.15,93.81,91.35,92.22,670934
2018-06-26,91.91,92.33,90.23,90.39,959853
2018-06-27,90.36,91.53,89.52,89.82,811836
2018-06-28,83.24,86.76,82.14,86.1,5019998.0
2018-06-29,86.16,86.56,84.38,85.27,1402028.0
2018-07-02,84.8,85.74,83.59,85.72,1260328.0
2018-07-03,85.99,87.14,85.03,86.68,622729
2018-07-05,86.36,87.27,85.9,87.2,871631
2018-07-06,87.61,88.14,86.83,87.97,1015981.0
2018-07-09,88.3,89.55,87.97,88.25,1435702.0
2018-07-10,88.94,89.01,87.88,88.14,843262
2018-07-11,87.11,87.38,85.62,87.14,1251417.0
2018-07-12,87.76,87.99,86.19,86.8,1481230.0
2018-07-13,86.97,88.67,86.46,87.91,1157984.0
2018-07-16,88.24,88.24,86.78,86.9,926892
2018-07-17,86.67,87.58,86.45,86.82,1094483.0
2018-07-18,86.85,87.54,86.08,86.33,813900
2018-07-19,86.26,86.38,83.51,85.56,2192610.0
2018-07-20,84.78,85.53,83.31,84.7,1230493.0
2018-07-23,84.72,85.72,84.7,84.75,670730
2018-07-24,84.85,85.58,83.79,83.93,909223
2018-07-25,84.23,85.2,83.75,84.77,1261502.0
2018-07-26,84.83,85.25,82.98,83.24,1633352.0
2018-07-27,83.21,84.37,82.14,82.92,1284841.0
2018-07-30,83.11,84.49,82.55,82.91,1668610.0
2018-07-31,83.21,83.49,81.78,81.83,1499484.0
2018-08-01,81.67,82.84,79.46,79.49,2357997.0
2018-08-02,78,79.67,77.28,78.98,3712226.0
2018-08-03,78.98,81.34,78.22,80.97,1937705.0
2018-08-06,80.25,82.72,80.07,82.14,1966946.0
2018-08-07,82.01,84.81,81.52,83.44,1581825.0
2018-08-08,83.24,83.56,81.478,82.66,1447512.0
2018-08-09,82.72,84.52,82.35,83.24,1316628.0
2018-08-10,83,83.08,81.65,81.98,1255107.0
2018-08-13,82,83.27,81.9,83.06,1245231.0
2018-08-14,83.15,85.13,83.12,84.43,1182596.0
2018-08-15,83.94,85.15,83.01,85.12,1377133.0
2018-08-16,85.98,87.29,84.77,86.82,1811941.0
2018-08-17,86.38,88.47,86.38,87.72,1298950.0
2018-08-20,87.71,88.66,87.71,88.27,868092
2018-08-21,88.35,88.831,87.93,87.99,769668
2018-08-22,87.93,88.38,87.03,88.15,550576
2018-08-23,88.23,88.59,87.52,88.28,835982
2018-08-24,88.6,88.98,87.92,88.33,626744
2018-08-27,88.63,89.65,88.23,88.46,786800
2018-08-28,88.81,88.97,87.9,88.87,578889
2018-08-29,88.67,89.43,87.78,89.26,792455
2018-08-30,88.9,90.39,88.32,90.06,1446483.0
2018-08-31,89.7,90.04,89.17,89.97,886013
2018-09-04,89.53,89.6,88.01,89.17,1021269.0
2018-09-05,88.64,89.539,88.3,89.44,1063374.0
2018-09-06,89.61,89.92,87.6,88.38,1342275.0
2018-09-07,88.3,89.26,87.79,88.64,974120
2018-09-10,88.71,89.48,88.2,88.33,1013875.0
2018-09-11,87.25,87.81,83.96,84.1,2498911.0
2018-09-12,83.73,85.43,83.39,85.21,1310202.0
2018-09-13,85.72,86.27,85.15,85.93,1096089.0
2018-09-14,86.19,87.38,85.64,85.84,1167088.0
2018-09-17,86.02,87.39,85.36,86.76,1010675.0
2018-09-18,86.56,88.06,86.32,87.33,1009730.0
2018-09-19,87.45,89.89,87.13,89.39,1393343.0
2018-09-20,89.79,91.45,89.79,91.06,1083071.0
2018-09-21,91.16,91.7,89.62,90.13,1853334.0
2018-09-24,89.63,90.19,88.44,89.57,966845
2018-09-25,89.68,90.58,89.43,89.52,975369
2018-09-26,89.61,91.4822,89.61,90.31,1301920.0
2018-09-27,90.34,91.49,90.34,91.15,948978
2018-09-28,91.12,92.51,90.53,92.22,1128628.0
2018-10-01,92.75,93.94,92.3,92.79,1232684.0
2018-10-02,92.51,93.16,91.39,91.4,1197778.0
